id,ts,sensor,reading,quality,label
0,2026-09-19,s33,6.8595,,1
1,2026-02-17,s6,1.8487,OK,1
2,2026-08-19,s40,-1.9868,,2
3,2026-01-10,s39,-1.5758,ok,0
4,1785938498,s32,1.2811,OK,0
5,2026-05-16,s17,-0.5749,,0
6,1714469087,s25,,BAD,1
7,1707022619,s25,-1.1562,ok,0
8,1741769849,s1,-3.5604,good,2
9,2026-03-13,s4,4.9212,ok,1
10,1717578104,s25,4.8278,,1
11,1779556300,s2,-0.0771,OK,0
12,2026-02-10,s29,3.2873,BAD,0
13,2026-06-14,s5,,BAD,1
14,2026-06-19,s38,,good,0
15,2026-07-12,s20,6.9755,OK,1
16,2026-04-16,s27,1.5636,BAD,0
17,1731998471,s17,-0.2419,ok,0
18,1730654837,s36,5.5835,OK,1
19,2026-02-14,s2,-5.1695,BAD,2
20,2026-05-15,s6,0.7648,OK,0
21,2026-06-18,s38,6.4412,,1
22,2026-01-10,s31,2.8118,good,0
23,1710101615,s35,0.0565,good,0
24,1711398684,s5,4.1848,OK,1
25,1701950523,s25,0.6485,ok,1
26,1744311966,s38,-2.305,ok,2
27,2026-02-18,s20,4.5545,BAD,1
28,1788601361,s17,-2.6744,ok,2
29,1722764286,s29,1.2002,OK,0
30,1728747999,s15,5.7452,OK,1
31,1766634678,s3,-4.0076,OK,2
32,2026-08-17,s27,1.6423,ok,2
33,1760730480,s5,6.4791,,1
34,2026-06-14,s9,0.5672,good,0
35,2026-05-13,s8,6.9236,ok,1
36,1726755152,s17,6.226,good,1
37,2026-09-10,s18,2.4101,,0
38,1711705082,s25,0.2745,OK,1
39,1773821504,s30,-0.0761,OK,0
40,2026-04-13,s20,3.7918,ok,1
41,2026-05-10,s3,-3.992,good,2
42,2026-04-11,s12,3.4706,ok,1
43,1769326800,s32,-1.4233,OK,2
44,2026-09-14,s34,-2.2752,BAD,2
45,2026-05-14,s20,-3.2398,BAD,2
46,2026-07-18,s39,3.151,OK,0
47,2026-09-16,s32,,ok,1
48,1733054801,s32,0.7592,,0
49,2026-09-15,s27,0.3805,,0
50,2026-01-13,s1,-1.6263,ok,2
51,2026-04-19,s32,-2.7432,good,2
52,1703120563,s27,-6.0588,OK,2
53,2026-04-18,s34,-4.738,BAD,2
54,1742395863,s13,2.4711,OK,0
55,2026-02-12,s6,-0.9915,OK,0
56,2026-03-13,s7,3.0347,BAD,1
57,1767871344,s33,2.2451,good,0
58,1782324249,s10,-1.3849,ok,2
59,2026-03-12,s38,-1.8131,OK,0
